,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4673,Assistant Manager Electrical,Maputo,,Construction Engineering Department,1 Jun 2022,5.0,3.0,5.0,3.0,5.0,5.0,4.0,good growing,good experience
4674,Construction Manager,"Gonda, Uttar Pradesh",,,6 Oct 2022,3.0,2.0,2.0,2.0,3.0,2.0,1.0,salary on time,corruption politics
4675,Mechanical Engineer Apprentice,Surat,,Engineering Department,4 May 2022,4.0,4.0,4.0,4.0,2.0,4.0,3.0,little good,job not secure till work of 4 or 5 year not permanent change
4676,Senior Software Engineer,Pune,,Software Development Department,9 Apr 2022,2.0,3.0,2.0,1.0,5.0,4.0,2.0,job security,do not give a good appraisal to even deserving candidates rating system is pathetic
4677,Hr Assistant,Kanpur Nagar,,Employee Relations Department,8 Apr 2022,5.0,4.0,5.0,4.0,3.0,4.0,3.0,in admit department labour issue local and police department land revenue department,salary incitement
4678,Solidworks Designer,Hazira,,,9 Jun 2022,5.0,4.0,4.0,4.0,1.0,4.0,4.0,nice place for job,good pleas for working
4679,Senior Engineer Civil,Chennai,,Construction Engineering Department,6 May 2022,1.0,1.0,1.0,2.0,1.0,1.0,1.0,better not to join,for all the known reasons boot licking
4680,Senior Soft Engineer,"Vadodara, Gujarat",Full Time,Software Development Department,0 Feb 2023,4.0,5.0,5.0,4.0,5.0,5.0,4.0,work culture,he help desk
4681,Senior Quality Engineer,Chennai,Full Time,Quality Assurance and Testing Department,7 Jun 2022,5.0,5.0,5.0,5.0,1.0,5.0,1.0,management,no job security
4682,Workshop Incharge   (working remotely),,Full Time,,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nice to work with l t nice company,any people can no like l t i can like l t
4683,Design Manager,"Bengaluru/Bangalore, Karnataka",,Engineering & Manufacturing Department,6 Jun 2022,4.0,4.0,4.0,4.0,4.0,4.0,4.0,employee friendly company,nothing specific as such
4684,Civil Foreman,"New Delhi, Delhi",,,9 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i am yes,no am
4685,Senior Project Engineer,Hyderabad,,Construction Engineering Department,9 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,no words to explain,nothing
4686,Deputy General Manager,Hazira,,,5 May 2022,5.0,5.0,5.0,4.0,5.0,4.0,5.0,opportunities responsibility and job security,lack of data driven decision
4687,Senior Software Engineer,Bengaluru/Bangalore,,Software Development Department,0 May 2022,1.0,4.0,1.0,1.0,4.0,1.0,1.0,work life balance,teach stick is old
4688,Assistant Manager -design,Coimbatore,,,4 Aug 2022,3.0,5.0,2.0,2.0,5.0,5.0,1.0,work life balance,gender politics
4689,Manager,Site Job.,,,6 May 2022,3.0,1.0,4.0,2.0,3.0,4.0,2.0,system of the organisation,compensation and work life balance
4690,Engineering Manager,Chennai,Full Time,Construction Engineering Department,1 May 2022,5.0,2.0,5.0,3.0,5.0,3.0,5.0,it s a good company to work and has good scope for self development,no work life balance
4691,Firewall Consultant,Chennai,Full Time,Accounting & Taxation Department,4 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,best company,all are good only no dislike here
4692,Technical Project Manager,Hyderabad/Secunderabad,Full Time,Software Development Department,6 Apr 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,excellent it firm to get everything you want,nothing much few areas can be improved
4693,Dgm Service,Mumbai,Full Time,,6 Apr 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,very professional company with great career opportunities,everything is good and well taken care
4694,Civil Foreman   (working remotely),,,,7 Jan 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes,l t hard work civil
4695,Pharmacist,Vadodara,,Pharmacy Department,8 Apr 2022,3.0,3.0,3.0,3.0,1.0,1.0,1.0,nothing i liked here,very much intelligent guns
4696,Sales Engineer,Raipur Chhattisgarh,,,8 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,4.0,working culture,nothing anyone else
4697,Project Planning Engineer,Sonbhadra,,Project Planning Department,3 Apr 2022,4.0,3.0,4.0,4.0,4.0,3.0,3.0,company benefit policy,work life balance is not good
4698,Assistant Construction Manager,Varanasi,,Construction Engineering Department,8 Nov 2022,3.0,3.0,3.0,2.0,4.0,3.0,4.0,job security,no proper timing no reward for achieving limestone target annual incitement is like nothing
