,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
102,Senior Engineer,"Vadodara, Gujarat",Full Time,Operations Department,6 Jul 2023,3.0,2.0,4.0,2.0,4.0,3.0,3.0,provide learning opportunities have faith on the employees and provides good accommodation at project sites some seniors are very suppurative at site,less pay compared to other top companies sometimes culture can be toxic where you have to face abusive language
103,Construction Manager,New Delhi,Full Time,Power Supply and Distribution Department,6 Jul 2023,1.0,1.0,2.0,2.0,4.0,1.0,3.0,only salary is on time work lots of no specific work is defined any type of work can be assigned to anyone,no value for staff only they need work during medical emergency only insurance suggested they are not taking care of their employees in difficult times
104,Anonymous,"Coimbatore, Tamil Nadu",Full Time,No idea Department,6 Jul 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,none at all,worst of all the companies that i have worked in the company has got no culture no plans for employees they just come do politics and go back in the evening some people don t even go in the evening they will stay back to do even more politics this company has spoiled my career
105,Associate Software Engineer,Vadodara,Full Time,Software Development Department,5 Jul 2023,5.0,4.0,3.0,4.0,1.0,4.0,4.0,good company if manager is good goes well with the work,some lead managers or project managers are rude and they won t encourage the freshness
106,Diploma In Civil Engineering,Kolkata,Contractual,Construction Engineering Department,3 Aug 2023,3.0,2.0,3.0,3.0,4.0,4.0,4.0,yes but i am not able to understand sir please find attached my qualification required to be a good job,i accept the request for civil engineering stuttering berbending etc but time issue with my qualification required for civil services
107,Engineering Manager,"Kolkata, West Bengal",Full Time,Engineering Department,0 Jul 2023,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1 variety of projects being executed hence good learning opportunities 2 good medical and sick leave facilities,1 appraisal policy is very bad in l t following rating is given to employees 8 outstanding max 5 people get this rating 7 top performer max 10 people get this 6 6 and 7 rating 6 top performer 5 vital performer majority of people get this 5 4 rating 4 vital performer 3 need to improve 5 7 get this people who get 8 7 rating their salary is very very high and they get all the benefit allowances of the company they get promotion in 2 3 years and their salary is almost 35 45 above market those who get 6 rating their salary is at per market average but almost 2 3 to 1 2 salary of 7 8 rate people they also get much benefit of the allowances those get 5 4 rating they do no get any company allowances even in the same designation as 6 7 8 rate people vital performer people get promotion after 4 5 years their salary is much below the market salary almost 30 below 2 once you get 5 4 rating improvement in eating is next to impossible no matter how hard you work 3 only manager and above cadet get company valuable benefit like medical car telephone allowance 4 very high differences in salary and allowances even in same designation of same batch candidate 5 appraisal process is not good you work with somebody somebody else will give you rating and after that he will say he was not aware of your portfolio 6 salary consist of two major portion in manager grade one is retention bonus and other is performance bonus both will be around 40 of the salary which will be given at the end of year this will not be paid under any circumstances if any employee resign from service intentionally they put retention bonus in december and performance bonus in july so that in case of registration employee will miss any one 7 annual increament is very low around 1000 2000inr but in case of promotion salary increases around 5000 to 20000 based on rating read more
108,Site Engineer,"Kolkata, West Bengal",Full Time,Construction Engineering Department,4 Jul 2023,5.0,4.0,4.0,4.0,3.0,4.0,3.0,work going on as per project site requirement systematic way to work with team proper follow up maintained during site execution and planning work education for company and seriousness is important for every work culture even in l t also thank you,project site transfer system
109,Civil Foreman,Kolkata,Full Time,Construction Engineering Department,4 Jul 2023,5.0,4.0,4.0,3.0,4.0,5.0,3.0,i like it because company s position is very good and carefully all are worker s after that every month salary paid on time to time,i don t know but company is very good
110,Senior Environmental Engineer,"Vadodara, Gujarat",Full Time,Community Health & Safety Department,4 Jul 2023,1.0,1.0,1.0,4.0,5.0,1.0,2.0,salary on time job security,work culture no ethics long working hours no sunday or holiday daily you will have to walk for 6 to 8 km in mid sunlight
111,Assistant Planning Manager,Chennai,Full Time,Construction Engineering Department,4 Jul 2023,1.0,1.0,1.0,1.0,2.0,1.0,1.0,nothing,no proper systematic work non experienced seniors no value addition for better opinions no equality not a good environment to work no support from he or admit or even higher management
112,Assistant Ehs,"Surat, Gujarat",Full Time,Community Health & Safety Department,4 Jul 2023,3.0,3.0,4.0,3.0,4.0,5.0,3.0,promotes for training to develop skill work permit system documentation work was very good as per iso 45001 14001 requirement overall company culture is good come with good salary package here he is very negotiating in salary,site management is not good if you didn t come in sunday duty then it will affect on your yearly increament lower care staff always suffer
113,Planning Engineer,"Varanasi, Uttar Pradesh",Full Time,Construction Engineering Department,3 Jul 2023,4.0,3.0,5.0,5.0,5.0,4.0,3.0,1 providing training regarding your field like planning training safety training digitalization training,1 promotion and appreciation system like which are based on appreciation month works only not whole year works 2 company provides benefits for employees but what benefits you get that circulation not comes to every employee that is limited unto project manager and accounts team only
114,Administration Officer,"Hyderabad/Secunderabad, Telangana",Full Time,Administration Department,3 Jul 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0,colleagues people management skill skill development continuous learning,work environment long hours managers approach
115,Executive - Finance,"Faridabad, Haryana",Full Time,Finance Department,3 Jul 2023,2.0,3.0,5.0,2.0,5.0,3.0,1.0,you get salary on 28 without delay no one fire you up to 3 years until your rating goes down god security is the only factor in let,work timing is not limited incitement is 2 to 3 not more than 1500 in hand promotion may take 3 to 5 years benefits are not good
116,Store Assistant,"Devprayag, Uttarakhand",Full Time,Finance Department,2 Jul 2023,5.0,5.0,5.0,4.0,5.0,4.0,3.0,it s a most great company in india also world my first working company also i love it to lots,increase of staff facilities also slow promotion
117,Site Engineer,"Valsad, Gujarat",Full Time,Construction Engineering Department,2 Jul 2023,4.0,3.0,1.0,4.0,2.0,2.0,1.0,salary timing is to good,there have many time of staff on third party patrol raw for those staff l t behavior is t good no one supporting and helping for them if someone working direct under l t then it s good for them
118,Sr.qa Qc Engineer,"Vadodara, Gujarat",Full Time,Construction Engineering Department,2 Jul 2023,4.0,3.0,5.0,3.0,3.0,3.0,2.0,we can do experience different kind of construction projects completion of work with the help of advance technology equipment and good in time resources,he policy working hours promotion appraisal policy
119,Qc Chemist,"Barnala, Punjab",Full Time,Pharmaceutical & Biotechnology Department,1 Jul 2023,3.0,3.0,4.0,3.0,4.0,3.0,3.0,that was my carrier started time it was learnt for me i had take good experience and good knowledge this organisation overall was good time for me,sorry
120,Construction Head,Tanzania,Contractual,Construction Engineering Department,0 Jun 2023,5.0,3.0,5.0,4.0,4.0,4.0,4.0,you can feel proud to be a part of a well organized world class conglomerate like l t you are given full scope to learn and improve your knowledge skill through their convulsive training and learning programs strategically organized throughout the year to make their employees more knowledgeable and skillful the pay health benefits behavior treatment is very good when compared with most of similar organizations read more,1 safety rules and regulations designed to follow at construction sites are very rigid impracticable and prejudiced this impedes work progress less productivity causes safety risks increased work stress and miscommunication generate in safety reports 2 there are several processes and approval procedures that are strictly tone followed even to initiate simple tasks such as travel booking miscellaneous purchases emergency purchases etc this strict adherence makes the admiration accounting and higher authorities to waste most of their valuable time in spending with captors and completely exhausted when they have to make key decisions read more
